park_id,unit_code,name,designation,population_center,region
96,ARHO,Arlington House The R.E. Lee MEM,National Memorial,Urban Area,National Capital  Region
264,SCBL,Scotts Bluff NM,National Monument,Rural Area,Midwest  Region
270,CHPI,Charles Pinckney NHS,National Historic Site,Urban Area,Southeast  Region
272,CHRI,Christiansted NHS,National Historic Site,Rural Area,Southeast  Region
273,CACO,Cape Cod NS,National Seashore,Outlying Area,Northeast  Region
274,CHCH,Chickamauga & Chattanooga NMP,National Military Park,Outlying Area,Southeast  Region
306,GUMO,Guadalupe Mountains NP,National Park,Mixed Area,Intermountain  Region
376,HOBE,Horseshoe Bend NMP,National Military Park,Rural Area,Southeast  Region
406,APIS,Apostle Islands NL,National Lakeshore,Remote Area,Midwest  Region
377,FOMC,Fort McHenry NM & HS,National Monument,Urban Area,Northeast  Region
146,RABR,Rainbow Bridge NM,National Monument,Remote Area,Intermountain  Region
147,VAFO,Valley Forge NHP,National Historical Park,Urban Area,Northeast  Region
288,CANY,Canyonlands NP,National Park,Rural Area,Intermountain  Region
336,ORPI,Organ Pipe Cactus NM,National Monument,Suburban Area,Intermountain  Region
338,SARA,Saratoga NHP,National Historical Park,Outlying Area,Northeast  Region
291,DEWA,Delaware Water Gap NRA,National Recreation Area,Mixed Area,Northeast  Region
292,GWMP,George Washington MEM PKWY,National Parkway,Urban Area,National Capital  Region
379,WICA,Wind Cave NP,National Park,Rural Area,Midwest  Region
296,GOGA,Golden Gate NRA,National Recreation Area,Suburban Area,Pacific West  Region
652,BLRV,Blackstone River Valley NHP,National Historical Park,Urban Area,Northeast  Region
653,CAMO,Castle Mountains NM,National Monument,Suburban Area,Pacific West  Region
304,HOSP,Hot Springs NP,National Park,Outlying Area,Midwest  Region
310,LIBI,Little Bighorn Battlefield NM,National Monument,Rural Area,Intermountain  Region
268,ASIS,Assateague Island NS,National Seashore,Mixed Area,Northeast  Region
502,FRSP,Fredericksburg & Spotsylvania NMP,National Military Park,Mixed Area,Northeast  Region
312,LIHO,Lincoln Home NHS,National Historic Site,Urban Area,Midwest  Region
522,CARL,Carl Sandburg Home NHS,National Historic Site,Outlying Area,Southeast  Region
107,EDAL,Edgar Allan Poe NHS,National Historic Site,Urban Area,Northeast  Region
315,CANA,Canaveral NS,National Seashore,Outlying Area,Southeast  Region
103,BELA,Bering Land Bridge NPRES,National Preserve,Remote Area,Alaska Region
108,CAKR,Cape Krusenstern NM,National Monument,Remote Area,Alaska Region
319,JELA,Jean Lafitte NHP & PRES,National Historical Park,Suburban Area,Southeast  Region
362,HOFU,Hopewell Furnace NHS,National Historic Site,Mixed Area,Northeast  Region
448,ORCA,Oregon Caves NM & PRES,National Monument,Outlying Area,Pacific West  Region
323,MORA,Mount Rainier NP,National Park,Suburban Area,Pacific West  Region
630,MAPR,Manhattan Project NHP,National Historical Park,Outlying Area,Intermountain  Region
324,MABE,Mary McLeod Bethune Council House NHS,National Historic Site,Urban Area,National Capital  Region
326,SAHI,Sagamore Hill NHS,National Historic Site,Urban Area,Northeast  Region
328,ROWI,Roger Williams NMEM,National Memorial,Urban Area,Northeast  Region
412,ARCH,Arches NP,National Park,Rural Area,Intermountain  Region
333,SITK,Sitka NHP,National Historical Park,Rural Area,Alaska Region
335,SAJU,San Juan NHS,National Historic Site,Urban Area,Southeast  Region
383,FONE,Fort Necessity NB,National Battlefield,Suburban Area,Northeast  Region
638,BEPA,Belmont-Paul Women's Equality NM,National Monument,Urban Area,National Capital  Region
341,SACN,Saint Croix NSR,National Wild & Scenic River,Rural Area,Midwest  Region
639,PULL,Pullman NHP,National Historical Park,Urban Area,Midwest  Region
643,BOHA,Boston Harbor Islands NRA,National Recreation Area,Urban Area,Northeast  Region
644,DDEM,Dwight D. Eisenhower MEM,National Memorial,Urban Area,National Capital  Region
339,PIRO,Pictured Rocks NL,National Lakeshore,Rural Area,Midwest  Region
343,ROLA,Ross Lake NRA,National Recreation Area,Outlying Area,Pacific West  Region
492,JOMU,John Muir NHS,National Historic Site,Suburban Area,Pacific West  Region
118,CACH,Canyon de Chelly NM,National Monument,Rural Area,Intermountain  Region
113,DEPO,Devils Postpile NM,National Monument,Outlying Area,Pacific West  Region
114,FOLA,Fort Laramie NHS,National Historic Site,Rural Area,Intermountain  Region
115,FOFR,Fort Frederica NM,National Monument,Outlying Area,Southeast  Region
349,STRI,Stones River NB,National Battlefield,Suburban Area,Southeast  Region
384,GETT,Gettysburg NMP,National Military Park,Rural Area,Northeast  Region
385,ROCR,Rock Creek Park,Park (Other),Urban Area,National Capital  Region
311,HOCU,Hopewell Culture NHP,National Historical Park,Rural Area,Midwest  Region
263,THRB,Theodore Roosevelt Birthplace NHS,National Historic Site,Urban Area,Northeast  Region
367,FOVA,Fort Vancouver NHS,National Historic Site,Urban Area,Pacific West  Region
374,EVER,Everglades NP,National Park,Mixed Area,Southeast  Region
375,FOBU,Fossil Butte NM,National Monument,Rural Area,Intermountain  Region
386,LEWI,Lewis & Clark NHP,National Historical Park,Rural Area,Pacific West  Region
276,COWP,Cowpens NB,National Battlefield,Rural Area,Southeast  Region
378,FRLA,Frederick Law Olmsted NHS,National Historic Site,Urban Area,Northeast  Region
457,NEPE,Nez Perce NHP,National Historical Park,Rural Area,Pacific West  Region
380,NAVA,Navajo NM,National Monument,Rural Area,Intermountain  Region
525,BITH,Big Thicket NPRES,National Preserve,Mixed Area,Intermountain  Region
570,FOSM,Fort Smith NHS,National Historic Site,Mixed Area,Midwest  Region
395,HOME,Homestead NHP,National Historical Park,Rural Area,Midwest  Region
389,CEBR,Cedar Breaks NM,National Monument,Rural Area,Intermountain  Region
388,DAAV,Dayton Aviation Heritage NHP,National Historical Park,Outlying Area,Midwest  Region
391,CACL,Castle Clinton NM,National Monument,Urban Area,Northeast  Region
392,VOYA,Voyageurs NP,National Park,Outlying Area,Midwest  Region
393,JODR,"John D. Rockefeller, Jr. MEM PKWY",National Parkway,Rural Area,Intermountain  Region
486,BICA,Bighorn Canyon NRA,National Recreation Area,Rural Area,Intermountain  Region
153,YUCH,Yukon-Charley Rivers NPRES,National Preserve,Rural Area,Alaska Region
154,PIPE,Pipestone NM,National Monument,Rural Area,Midwest  Region
155,PETR,Petroglyph NM,National Monument,Outlying Area,Intermountain  Region
511,REDW,Redwood NP,National Park,Rural Area,Pacific West  Region
513,CHSC,Little Rock Central High School NHS,National Historic Site,Urban Area,Midwest  Region
396,CUGA,Cumberland Gap NHP,National Historical Park,Rural Area,Southeast  Region
398,LAKE,Lake Mead NRA,National Recreation Area,Mixed Area,Pacific West  Region
399,GRTE,Grand Teton NP,National Park,Rural Area,Intermountain  Region
407,SPAR,Springfield Armory NHS,National Historic Site,Urban Area,Northeast  Region
436,PUHE,Pu'ukohola Heiau NHS,National Historic Site,Rural Area,Pacific West  Region
442,SAPU,Salinas Pueblo Missions NM,National Monument,Mixed Area,Intermountain  Region
405,WORI,Women's Rights NHP,National Historical Park,Rural Area,Northeast  Region
417,PORE,Point Reyes NS,National Seashore,Suburban Area,Pacific West  Region
421,YELL,Yellowstone NP,National Park,Rural Area,Intermountain  Region
623,RORI,Rosie The Riveter WWII Home Front NHP,National Historical Park,Urban Area,Pacific West  Region
409,GLBA,Glacier Bay NP & PRES,National Park,Remote Area,Alaska Region
410,SHEN,Shenandoah NP,National Park,Mixed Area,Northeast  Region
416,SHIL,Shiloh NMP,National Military Park,Rural Area,Southeast  Region
414,WACA,Walnut Canyon NM,National Monument,Outlying Area,Intermountain  Region
334,PINN,Pinnacles NP,National Park,Suburban Area,Pacific West  Region
432,WUPA,Wupatki NM,National Monument,Outlying Area,Intermountain  Region
427,WAPA,War in the Pacific NHP,National Historical Park,Remote Area,Pacific West  Region
462,CHIC,Chickasaw NRA,National Recreation Area,Rural Area,Intermountain  Region
431,OLYM,Olympic NP,National Park,Rural Area,Pacific West  Region
441,KLGO,Klondike Gold Rush NHP Alaska,National Historical Park,Rural Area,Alaska Region
428,MORR,Morristown NHP,National Historical Park,Suburban Area,Northeast  Region
429,EFMO,Effigy Mounds NM,National Monument,Rural Area,Midwest  Region
322,NEBE,New Bedford Whaling NHP,National Historical Park,Urban Area,Northeast  Region
503,OKCI,Oklahoma City NMEM,National Memorial,Urban Area,Intermountain  Region
461,GAAR,Gates of the Arctic NP & PRES,National Park,Remote Area,Alaska Region
253,PUHO,Pu'uhonua o Honaunau NHP,National Historical Park,Rural Area,Pacific West  Region
463,CORO,Coronado NMEM,National Memorial,Outlying Area,Intermountain  Region
433,JOTR,Joshua Tree NP,National Park,Suburban Area,Pacific West  Region
351,WRBR,Wright Brothers NMEM,National Memorial,Rural Area,Southeast  Region
613,SARI,Salt River Bay NHP & Ecological Pres,National Historical Park,Rural Area,Southeast  Region
413,ISRO,Isle Royale NP,National Park,Remote Area,Midwest  Region
